replicate	experiment	strain	glycan_name_abbrev	odmax_odi	glycan_name_full
1	1	tride	cello (+)	0.614	cellobiose
2	1	tride	cello (+)	0.4917	cellobiose
3	1	tride	cello (+)	0.7441	cellobiose
4	1	tride	cello (+)	0.5299	cellobiose
1	2	tride	cello (+)	0.5305	cellobiose
2	2	tride	cello (+)	0.5391	cellobiose
3	2	tride	cello (+)	0.4852	cellobiose
4	2	tride	cello (+)	0.4986	cellobiose
1	3	tride	cello (+)	0.7373	cellobiose
2	3	tride	cello (+)	0.8042	cellobiose
3	3	tride	cello (+)	0.7044	cellobiose
4	3	tride	cello (+)	0.7286	cellobiose
1	4	tride	cello (+)	0.4455	cellobiose
2	4	tride	cello (+)	0.3981	cellobiose
3	4	tride	cello (+)	0.5184	cellobiose
4	4	tride	cello (+)	0.5804	cellobiose
1	6	tride	cello (+)	0.4519	cellobiose
2	6	tride	cello (+)	0.6763	cellobiose
3	6	tride	cello (+)	0.7543	cellobiose
1	7	mitsuo_T	cello (+)	0.507	cellobiose
2	7	mitsuo_T	cello (+)	0.705	cellobiose
3	7	mitsuo_T	cello (+)	0.773	cellobiose
4	7	mitsuo_T	cello (+)	0.666	cellobiose
5	7	mitsuo_T	cello (+)	0.875	cellobiose
1	8	mitsuo_T	cello (+)	0.6038	cellobiose
2	8	mitsuo_T	cello (+)	0.9403	cellobiose
3	8	mitsuo_T	cello (+)	0.9164	cellobiose
4	8	mitsuo_T	cello (+)	0.8384	cellobiose
5	8	mitsuo_T	cello (+)	0.9096	cellobiose
1	9	mitsuo_T	cello (+)	0.4763	cellobiose
2	9	mitsuo_T	cello (+)	0.4261	cellobiose
3	9	mitsuo_T	cello (+)	0.5705	cellobiose
4	9	mitsuo_T	cello (+)	0.5041	cellobiose
5	9	mitsuo_T	cello (+)	0.373	cellobiose
1	10	mitsuo_isolate	cello (+)	0.4	cellobiose
2	10	mitsuo_isolate	cello (+)	0.41	cellobiose
3	10	mitsuo_isolate	cello (+)	0.19	cellobiose
4	10	mitsuo_isolate	cello (+)	0.31	cellobiose
5	10	mitsuo_isolate	cello (+)	0.18	cellobiose
1	11	mitsuo_isolate	cello (+)	0.38	cellobiose
2	11	mitsuo_isolate	cello (+)	0.33	cellobiose
3	11	mitsuo_isolate	cello (+)	0.14	cellobiose
1	12	mitsuo_isolate	cello (+)	0.26	cellobiose
2	12	mitsuo_isolate	cello (+)	0.37	cellobiose
3	12	mitsuo_isolate	cello (+)	0.43	cellobiose
4	12	mitsuo_isolate	cello (+)	0.29	cellobiose
1	1	tride	Y basal (-)	0.0	Y basal (-)
2	1	tride	Y basal (-)	0.0696	Y basal (-)
3	1	tride	Y basal (-)	0.036	Y basal (-)
4	1	tride	Y basal (-)	0.0	Y basal (-)
1	2	tride	Y basal (-)	0.1031	Y basal (-)
2	2	tride	Y basal (-)	0.0861	Y basal (-)
3	2	tride	Y basal (-)	0.0972	Y basal (-)
4	2	tride	Y basal (-)	0.1056	Y basal (-)
1	3	tride	Y basal (-)	0.0809	Y basal (-)
2	3	tride	Y basal (-)	0.09	Y basal (-)
3	3	tride	Y basal (-)	0.0762	Y basal (-)
4	3	tride	Y basal (-)	0.1014	Y basal (-)
1	4	tride	Y basal (-)	0.1303	Y basal (-)
2	4	tride	Y basal (-)	0.1607	Y basal (-)
3	4	tride	Y basal (-)	0.1012	Y basal (-)
4	4	tride	Y basal (-)	0.0729	Y basal (-)
1	6	tride	Y basal (-)	0.0597	Y basal (-)
2	6	tride	Y basal (-)	0.2201	Y basal (-)
3	6	tride	Y basal (-)	0.0423	Y basal (-)
4	6	tride	Y basal (-)	0.1031	Y basal (-)
1	7	mitsuo_T	Y basal (-)	0.265	Y basal (-)
2	7	mitsuo_T	Y basal (-)	0.27	Y basal (-)
3	7	mitsuo_T	Y basal (-)	0.262	Y basal (-)
4	7	mitsuo_T	Y basal (-)	0.261	Y basal (-)
5	7	mitsuo_T	Y basal (-)	0.242	Y basal (-)
1	8	mitsuo_T	Y basal (-)	0.2521	Y basal (-)
2	8	mitsuo_T	Y basal (-)	0.2829	Y basal (-)
3	8	mitsuo_T	Y basal (-)	0.3854	Y basal (-)
4	8	mitsuo_T	Y basal (-)	0.3301	Y basal (-)
5	8	mitsuo_T	Y basal (-)	0.3937	Y basal (-)
1	9	mitsuo_T	Y basal (-)	0.123	Y basal (-)
2	9	mitsuo_T	Y basal (-)	0.2643	Y basal (-)
3	9	mitsuo_T	Y basal (-)	0.2355	Y basal (-)
4	9	mitsuo_T	Y basal (-)	0.1447	Y basal (-)
5	9	mitsuo_T	Y basal (-)	0.1607	Y basal (-)
1	10	mitsuo_isolate	Y basal (-)	0.16	Y basal (-)
2	10	mitsuo_isolate	Y basal (-)	0.08	Y basal (-)
3	10	mitsuo_isolate	Y basal (-)	0.51	Y basal (-)
4	10	mitsuo_isolate	Y basal (-)	0.16	Y basal (-)
5	10	mitsuo_isolate	Y basal (-)	0.05	Y basal (-)
1	11	mitsuo_isolate	Y basal (-)	0.04	Y basal (-)
2	11	mitsuo_isolate	Y basal (-)	0.08	Y basal (-)
3	11	mitsuo_isolate	Y basal (-)	0.09	Y basal (-)
4	11	mitsuo_isolate	Y basal (-)	0.06	Y basal (-)
5	11	mitsuo_isolate	Y basal (-)	0.01	Y basal (-)
1	12	mitsuo_isolate	Y basal (-)	0.02	Y basal (-)
2	12	mitsuo_isolate	Y basal (-)	0.1	Y basal (-)
3	12	mitsuo_isolate	Y basal (-)	0.09	Y basal (-)
4	12	mitsuo_isolate	Y basal (-)	0.06	Y basal (-)
5	12	mitsuo_isolate	Y basal (-)	0.03	Y basal (-)
1	1	tride	amypec	0.092	Amylopectin
2	1	tride	amypec	0.0988	Amylopectin
3	1	tride	amypec	0.1559	Amylopectin
4	1	tride	amypec	0.0103	Amylopectin
1	2	tride	amypec	0.0677	Amylopectin
2	2	tride	amypec	0.1068	Amylopectin
3	2	tride	amypec	0.0719	Amylopectin
4	2	tride	amypec	0.1135	Amylopectin
1	7	mitsuo_T	amypec	0.197	Amylopectin
2	7	mitsuo_T	amypec	0.217	Amylopectin
3	7	mitsuo_T	amypec	0.145	Amylopectin
4	7	mitsuo_T	amypec	0.183	Amylopectin
5	7	mitsuo_T	amypec	0.176	Amylopectin
1	11	mitsuo_isolate	amypec	0.0	Amylopectin
2	11	mitsuo_isolate	amypec	0.0	Amylopectin
3	11	mitsuo_isolate	amypec	0.07	Amylopectin
4	11	mitsuo_isolate	amypec	0.04	Amylopectin
5	11	mitsuo_isolate	amypec	0.03	Amylopectin
1	3	tride	ara	0.0594	Arabinan
2	3	tride	ara	0.1155	Arabinan
3	3	tride	ara	0.0804	Arabinan
4	3	tride	ara	0.0601	Arabinan
1	7	mitsuo_T	ara	0.221	Arabinan
2	7	mitsuo_T	ara	0.269	Arabinan
3	7	mitsuo_T	ara	0.223	Arabinan
4	7	mitsuo_T	ara	0.272	Arabinan
5	7	mitsuo_T	ara	0.278	Arabinan
1	11	mitsuo_isolate	ara	0.0	Arabinan
2	11	mitsuo_isolate	ara	0.04	Arabinan
3	11	mitsuo_isolate	ara	0.11	Arabinan
4	11	mitsuo_isolate	ara	0.03	Arabinan
5	11	mitsuo_isolate	ara	0.01	Arabinan
1	1	tride	aragal	0.0139	Arabinogalactan
2	1	tride	aragal	0.0309	Arabinogalactan
3	1	tride	aragal	0.0077	Arabinogalactan
4	1	tride	aragal	0.0737	Arabinogalactan
1	2	tride	aragal	0.0815	Arabinogalactan
2	2	tride	aragal	0.0983	Arabinogalactan
3	2	tride	aragal	0.0793	Arabinogalactan
4	2	tride	aragal	0.1561	Arabinogalactan
1	7	mitsuo_T	aragal	0.18	Arabinogalactan
2	7	mitsuo_T	aragal	0.24	Arabinogalactan
3	7	mitsuo_T	aragal	0.25	Arabinogalactan
4	7	mitsuo_T	aragal	0.194	Arabinogalactan
5	7	mitsuo_T	aragal	0.237	Arabinogalactan
1	11	mitsuo_isolate	aragal	0.0	Arabinogalactan
2	11	mitsuo_isolate	aragal	0.02	Arabinogalactan
3	11	mitsuo_isolate	aragal	0.0	Arabinogalactan
4	11	mitsuo_isolate	aragal	0.0	Arabinogalactan
5	11	mitsuo_isolate	aragal	0.09	Arabinogalactan
1	3	tride	araxyl	0.1092	Arabinoxylan
2	3	tride	araxyl	0.0832	Arabinoxylan
3	3	tride	araxyl	0.0739	Arabinoxylan
4	3	tride	araxyl	0.0574	Arabinoxylan
1	7	mitsuo_T	araxyl	0.212	Arabinoxylan
2	7	mitsuo_T	araxyl	0.188	Arabinoxylan
3	7	mitsuo_T	araxyl	0.199	Arabinoxylan
4	7	mitsuo_T	araxyl	0.138	Arabinoxylan
5	7	mitsuo_T	araxyl	0.19	Arabinoxylan
1	11	mitsuo_isolate	araxyl	0.04	Arabinoxylan
2	11	mitsuo_isolate	araxyl	0.05	Arabinoxylan
3	11	mitsuo_isolate	araxyl	0.07	Arabinoxylan
4	11	mitsuo_isolate	araxyl	0.06	Arabinoxylan
5	11	mitsuo_isolate	araxyl	0.01	Arabinoxylan
1	4	tride	cellu	0.1478	Cellulose (carboxymethylated)
2	4	tride	cellu	0.2111	Cellulose (carboxymethylated)
3	4	tride	cellu	0.2197	Cellulose (carboxymethylated)
4	4	tride	cellu	0.147	Cellulose (carboxymethylated)
1	5	tride	cellu	0.1297	Cellulose (carboxymethylated)
2	5	tride	cellu	0.1759	Cellulose (carboxymethylated)
3	5	tride	cellu	0.2907	Cellulose (carboxymethylated)
4	5	tride	cellu	0.261	Cellulose (carboxymethylated)
5	5	tride	cellu	0.3374	Cellulose (carboxymethylated)
1	6	tride	cellu	0.0771	Cellulose (carboxymethylated)
2	6	tride	cellu	0.1132	Cellulose (carboxymethylated)
3	6	tride	cellu	0.1739	Cellulose (carboxymethylated)
4	6	tride	cellu	0.2418	Cellulose (carboxymethylated)
5	6	tride	cellu	0.2678	Cellulose (carboxymethylated)
1	9	mitsuo_T	cellu	0.1804	Cellulose (carboxymethylated)
2	9	mitsuo_T	cellu	0.1875	Cellulose (carboxymethylated)
3	9	mitsuo_T	cellu	0.1259	Cellulose (carboxymethylated)
4	9	mitsuo_T	cellu	0.1038	Cellulose (carboxymethylated)
5	9	mitsuo_T	cellu	0.177	Cellulose (carboxymethylated)
1	12	mitsuo_isolate	cellu	0.07	Cellulose (carboxymethylated)
2	12	mitsuo_isolate	cellu	0.13	Cellulose (carboxymethylated)
3	12	mitsuo_isolate	cellu	0.13	Cellulose (carboxymethylated)
