SGB	SGB_mother-infant_transmissibility	SGB_household_transmissibility	SGB_intradataset_transmissibility
SGB10068	0.44375	0.14847591	0.11187028
SGB10115_group	NA	0.34918276	0.27578999
SGB10130	NA	0.13095238	0.04564315
SGB10131	NA	0.11267606	0.05630064
SGB10139_group	NA	0.12765957	0.08586463
SGB1024	NA	0.6	0.30581761
SGB12676	NA	0.25	0.07433628
SGB1303	NA	0.5	0.10861423
SGB13972	NA	NA	0.14738806
SGB13976	NA	0.375	0.17911975
SGB13977	NA	0.11111111	0.13034826
SGB13979	NA	0.35714286	0.14770642
SGB13982	NA	0.33333333	0.20289855
SGB13997	NA	NA	0.13793103
SGB13999	NA	0.14285714	0.04093567
SGB14005	NA	NA	0.05131761
SGB14007	NA	0.21875	0.09861407
SGB14017	NA	NA	0.19788918
SGB14027	NA	NA	0.07142857
SGB1404	NA	0.42424242	0.06629423
SGB14110	NA	0.2	0.34582133
SGB14136	NA	0.2	0.11684783
SGB14193	NA	0.16666667	0.17288557
SGB14205	NA	0.22222222	0.11930586
SGB14209	NA	0.11904762	0.07452939
SGB14215	NA	NA	0.11508951
SGB14237	NA	0.22222222	0.14104372
SGB14243	NA	0.33333333	0.24081633
SGB14247	NA	0	0.11899791
SGB14248	NA	NA	0.09793814
SGB14250	NA	0.16666667	0.09348915
SGB14252	NA	NA	0.05128205
SGB14253	NA	0.2	0.23445826
SGB14256	NA	NA	0.06832298
SGB14263	NA	NA	0.03846154
SGB14294	NA	0.16	0.09970958
SGB14306	NA	0.1875	0.11160582
SGB14311	NA	0.06557377	0.02991304
SGB14313	NA	0.21276596	0.05029586
SGB14321	NA	0.14007782	0.10735373
SGB14322	NA	0.10714286	0.06614002
SGB14334	NA	NA	0.15384615
SGB14336	NA	0.05714286	0.02062273
SGB14341_group	NA	NA	0.26315789
SGB1437	NA	0.09756098	0.10240964
SGB14370	NA	0.2173913	0.11311168
SGB14373	NA	0.11111111	0.03718779
SGB14379	NA	0.52631579	0.38396624
SGB14380	NA	0.55555556	0.09411765
SGB14397	NA	0.13004484	0.07818792
SGB14398	NA	NA	0.11764706
SGB14631_group	0.806451612903226	0.20325203	0.1353658
SGB1471	NA	0.55	0.12378641
SGB1472	NA	0.21929825	0.09837046
SGB1473	NA	0.30434783	0.18439716
SGB1474	NA	0.30434783	0.04572271
SGB1475	NA	0.45283019	0.14055637
SGB1477	NA	0.1978022	0.10223191
SGB14770	NA	NA	0.13636364
SGB14773	NA	0.10723192	0.06463003
SGB14786	NA	0.24175824	0.06652007
SGB14797_group	NA	0.54545455	0.38053097
SGB14809	0.64	0.18181818	0.17746479
SGB14816	NA	0.14037123	0.06180072
SGB14822	NA	0.1281407	0.07004885
SGB14824_group	0.8	0.15809524	0.1071107
SGB14834	NA	NA	0.2016129
SGB14853	NA	NA	0.04761905
SGB14861	NA	0.06010929	0.01827138
SGB14905	NA	0.33333333	0.10674157
SGB14908	NA	NA	0.15909091
SGB14912	NA	NA	NA
SGB14921	NA	NA	0.03448276
SGB14923	NA	NA	NA
SGB14937	NA	NA	NA
SGB14974	NA	NA	0.5
SGB14980	NA	0.1	0.07062147
SGB14990	NA	0.14285714	0.07399577
SGB14991	NA	0.20588235	0.02576029
SGB14993_group	NA	0.23015873	0.04731433
SGB14999	NA	NA	NA
SGB15012	NA	0.35	0.40074906
SGB15015	NA	0.19230769	0.15232358
SGB15019	NA	0.18333333	0.18314514
SGB15022	NA	0.14285714	0.10124083
SGB15031_group	NA	0.14018692	0.05350687
SGB15035	NA	0.15555556	0.09674149
SGB15040	NA	0.4	0.11388889
SGB15041	NA	0.15151515	0.06976744
SGB15042	NA	0.13114754	0.04794521
SGB15049	NA	0.36363636	0
SGB15051	NA	0.01538462	0.04522051
SGB15052	NA	0.08163265	0.04865727
SGB15054	NA	0.13851351	0.07099204
SGB15065	NA	0	0.02338462
SGB15073	NA	NA	0.76923077
SGB15078	0.090909090909091	0.27777778	0.20948617
SGB15081	NA	0.17241379	0.05708245
SGB15084	NA	0.33333333	0.21260816
SGB15085	NA	0.17777778	0.08811711
SGB15087	NA	0.32307692	0.08702595
SGB15089	NA	0.26086957	0.04307116
SGB15090	NA	0.14545455	0.03242542
SGB15091	NA	0.15151515	0.06749098
SGB15093	NA	0.375	0.06769826
SGB15095	NA	0.09230769	0.08806614
SGB15097	NA	NA	0.01136364
SGB15100	NA	0.35	0.10403727
SGB15101	NA	0.11363636	0.08353317
SGB15103	NA	0.1862069	0.10878344
SGB15106	NA	0.1402439	0.04050915
SGB15107	NA	0.30769231	0.02549247
SGB15108	NA	0	0.00909091
SGB15119	NA	0.14246575	0.09131957
SGB15120	NA	NA	0.11111111
SGB15121	NA	NA	0.25
SGB15124	NA	NA	NA
SGB15126	NA	NA	NA
SGB15127	NA	NA	NA
SGB15132	0.275862068965517	NA	0.17073171
SGB15145	NA	0	0.03125
SGB15154	NA	NA	0.109375
SGB15159	NA	NA	NA
SGB15180	NA	NA	0.13513514
SGB15196	NA	0.02325581	0.0484472
SGB15198	NA	0.15789474	0.04035513
SGB15213	NA	0.28571429	0.08856089
SGB15216	NA	0.24050633	0.0312989
SGB15224	NA	0.16326531	0.04189636
SGB15225	NA	0.21212121	0.15893333
SGB15229	NA	0.06521739	0.02684564
SGB15234_group	NA	0.1954023	0.04164216
