SGB,Classification,Taxonomy,NCBI taxID,max_Youdens_index,max_nGD_score,max_nGD_score_percentile,used_nGD_score_percentile,SNV_rate_threshold
SGB10139_group,kSGB,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_roggenkampii|t__SGB10139;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae|t__SGB10141;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_chengduensis|t__SGB10138;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_bugandensis|t__SGB10135;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_ludwigii|t__SGB10127;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori|t__SGB10132;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_huaxiensis|t__SGB31166;k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_sp_WCHEs120002|t__SGB31167,2|1224|1236|91347|543|547|1812935,NA,NA,NA,0.03,0
SGB14874,uSGB,k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012|f__FGB3012|g__GGB9479|s__GGB9479_SGB14874|t__SGB14874,2|1239|186801|186802,0.86541889483066,0.36,0.116078431372549,0.05,0
SGB17247,kSGB,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve|t__SGB17247,2|201174|1760|85004|31953|1678|1685,NA,NA,NA,0.03,0
SGB17278,kSGB,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278,2|201174|1760|85004|31953|1678|28025,NA,NA,NA,0.03,0
SGB1829,kSGB,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii|t__SGB1829,2|976|200643|171549|815|816|28111,0.84186128182616,0.14,0.089009009009009,0.05,0
SGB1860,kSGB,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis|t__SGB1860,2|976|200643|171549|815|816|674529,0.88902589395808,0.66,0.125490196078431,0.05,0
SGB1861,kSGB,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__SGB1861,2|976|200643|171549|815|816|818,0.87782731594891,0.33,0.039012856509532,0.039012856509532,0
SGB2227,uSGB,k__Bacteria|p__Bacteroidetes|c__CFGB649|o__OFGB649|f__FGB649|g__GGB1627|s__GGB1627_SGB2227|t__SGB2227,2|976|200643|171549,NA,NA,NA,0.03,0
SGB4037,kSGB,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum|t__SGB4037,2|1239|526524|526525|128827|1505663|1522,NA,NA,NA,0.03,0
SGB4290,uSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_SGB4290|t__SGB4290,2|1239|186801|186802|186806|1730,0.9312671856241,0.06,0.011228070175439,0.011228070175439,0
SGB4699,kSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum|t__SGB4699,2|1239|186801|186802|186803|1506553|1512,NA,NA,NA,0.03,0
SGB4741,kSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi|t__SGB4741,2|1239|186801|186802|31979|1649459|154046,NA,NA,NA,0.03,0
SGB6174,uSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__GGB4481|s__GGB4481_SGB6174|t__SGB6174,2|1239|186801|186802|31979,NA,NA,NA,0.03,0
SGB6376,uSGB,k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765|g__GGB4605|s__GGB4605_SGB6376|t__SGB6376,2|1239|186801|186802,NA,NA,NA,0.03,0
SGB7115,kSGB,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_confusa|t__SGB7115,2|1239|91061|186826|81850|46255|1583,NA,NA,NA,0.03,0
SGB9226,kSGB,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__SGB9226,2|74201|203494|48461|1647988|239934|239935,0.95862686842999,0.05,0.011264534883721,0.011264534883721,0
SGB4181,uSGB,k__Bacteria|p__Firmicutes|c__CFGB1323|o__OFGB1323|f__FGB1323|g__GGB3167|s__GGB3167_SGB4181|t__SGB4181,2|1239|186801|186802,NA,NA,NA,0.03,3.34E-05
SGB6847,kSGB,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis|t__SGB6847,2|1239|526524|526525|128827|191303|154288,NA,NA,NA,0.03,3.51E-05
SGB6190,kSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_ventriculi|t__SGB6190,2|1239|186801|186802|31979|1485|1267,NA,NA,NA,0.03,7.30E-05
SGB6846,kSGB,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis|t__SGB6846,2|1239|526524|526525|128827|191303|154288,NA,NA,NA,0.03,0.000101037173375
SGB9224,kSGB,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_sp_KLE1605|t__SGB9224,2|74201|203494|48461|1647988|239934|1574264,NA,NA,NA,0.03,0.000148167958594
SGB1853,kSGB,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__SGB1853,2|976|200643|171549|815|816|817,NA,NA,NA,0.03,0.000181744015289
SGB5736,kSGB,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini|t__SGB5736,2|1239|909932|1843488|909930|904|187327,NA,NA,NA,0.03,0.000189430858235
SGB15273,uSGB,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__GGB9719|s__GGB9719_SGB15273|t__SGB15273,2|1239|186801|186802|541000,NA,NA,NA,0.03,0.000291696649946
