	prevalence	gene	lifestyle
1853	0.9342105263157895	gene__K15987	westernized
5083	0.8148148148148148	gene__K15987	westernized
5077	0.8260869565217391	gene__K15987	westernized
9243	0.6875	gene__K15987	westernized
5082	0.9779917469050894	gene__K15987	westernized
9273	0.6132596685082873	gene__K15987	westernized
1855	0.9296407185628742	gene__K15987	westernized
15452	0.45852534562211983	gene__K15987	westernized
1853	0.9411764705882353	gene__K15987	non-westernized
5083	0.8918918918918919	gene__K15987	non-westernized
5077	0.7857142857142857	gene__K15987	non-westernized
9243	0.7931034482758621	gene__K15987	non-westernized
5082	1.0	gene__K15987	non-westernized
9273	0.8455284552845529	gene__K15987	non-westernized
1855	0.9772727272727273	gene__K15987	non-westernized
15452	0.6417910447761194	gene__K15987	non-westernized
1928	1.0	gene__K06201	westernized
1883	0.8043478260869565	gene__K06201	westernized
2239	0.36936936936936937	gene__K06201	westernized
1666	0.18181818181818182	gene__K06201	westernized
1853	0.8947368421052632	gene__K06201	westernized
2295	0.7914230019493177	gene__K06201	westernized
6179	0.5844155844155844	gene__K06201	westernized
6750	0.16326530612244897	gene__K06201	westernized
7968	0.9090909090909091	gene__K06201	westernized
7061	0.7289156626506024	gene__K06201	westernized
1814	0.9089805825242718	gene__K06201	westernized
14379	0.5625	gene__K06201	westernized
6191	0.7729468599033816	gene__K06201	westernized
14397	0.75	gene__K06201	westernized
1855	0.9431137724550899	gene__K06201	westernized
15333	0.7777777777777778	gene__K06201	westernized
15323	0.7412935323383084	gene__K06201	westernized
15326	0.7583333333333333	gene__K06201	westernized
15234	0.08260869565217391	gene__K06201	westernized
15346	0.8021390374331551	gene__K06201	westernized
15318	0.8952042628774423	gene__K06201	westernized
15316	0.16559485530546625	gene__K06201	westernized
15332	0.9070567986230637	gene__K06201	westernized
15342	0.9567901234567902	gene__K06201	westernized
10115	0.7352185089974294	gene__K06201	westernized
10068	0.9762900976290098	gene__K06201	westernized
1928	0.918918918918919	gene__K06201	non-westernized
1883	0.8695652173913043	gene__K06201	non-westernized
2239	0.325	gene__K06201	non-westernized
1666	0.1452991452991453	gene__K06201	non-westernized
1853	0.9411764705882353	gene__K06201	non-westernized
2295	0.8064516129032258	gene__K06201	non-westernized
6179	0.926829268292683	gene__K06201	non-westernized
6750	0.13043478260869565	gene__K06201	non-westernized
7968	0.7857142857142857	gene__K06201	non-westernized
7061	0.803680981595092	gene__K06201	non-westernized
1814	0.96	gene__K06201	non-westernized
14379	0.7777777777777778	gene__K06201	non-westernized
6191	0.7142857142857143	gene__K06201	non-westernized
14397	0.9459459459459459	gene__K06201	non-westernized
1855	0.9772727272727273	gene__K06201	non-westernized
15333	0.7391304347826086	gene__K06201	non-westernized
15323	0.9384615384615385	gene__K06201	non-westernized
15326	0.8292682926829268	gene__K06201	non-westernized
15234	0.11363636363636363	gene__K06201	non-westernized
