                         Feature  random-effect      Q-values    CI_low    CI_upp   SG
gene__1.6.99.1    gene__1.6.99.1       0.559926  2.920953e-02  0.202250  0.917602  yes
gene__2.7.13.3    gene__2.7.13.3       0.541745  3.686463e-06  0.353558  0.729931  yes
gene__3.6.1.40    gene__3.6.1.40       0.541376  5.506119e-03  0.257527  0.825226  yes
gene__6.3.2.49    gene__6.3.2.49       0.493224  2.349116e-02  0.187611  0.798836  yes
gene__4.2.1.136  gene__4.2.1.136       0.489292  4.948750e-05  0.299252  0.679333  yes
gene__2.4.2.21    gene__2.4.2.21       0.424535  1.635781e-03  0.224711  0.624359  yes
gene__1.3.99.4    gene__1.3.99.4       0.412660  4.720241e-02  0.131356  0.693964  yes
gene__4.1.1.96    gene__4.1.1.96       0.366798  1.950853e-02  0.144147  0.589450  yes
gene__3.2.1.177  gene__3.2.1.177       0.324134  4.535359e-02  0.104654  0.543613  yes
gene__2.7.8.26    gene__2.7.8.26       0.318787  1.194271e-02  0.136765  0.500810  yes
gene__1.1.3.46    gene__1.1.3.46       0.289931  3.728660e-02  0.098771  0.481091  yes
gene__2.7.1.50    gene__2.7.1.50       0.254772  8.554525e-03  0.115554  0.393991  yes
gene__1.11.1.1    gene__1.11.1.1      -0.248133  1.336891e-04 -0.348741 -0.147525  yes
gene__3.4.21.92  gene__3.4.21.92      -0.258296  1.037371e-06 -0.343874 -0.172717  yes
gene__3.1.4.52    gene__3.1.4.52      -0.259902  1.194271e-02 -0.408296 -0.111508  yes
gene__2.1.1.45    gene__2.1.1.45      -0.260149  1.348342e-04 -0.366047 -0.154252  yes
gene__3.6.1.1      gene__3.6.1.1      -0.261038  6.895020e-04 -0.377875 -0.144201  yes
gene__3.6.3.40    gene__3.6.3.40      -0.262024  3.391753e-03 -0.392256 -0.131791  yes
gene__2.7.4.3      gene__2.7.4.3      -0.263856  1.037371e-06 -0.351603 -0.176109  yes
gene__4.3.1.1      gene__4.3.1.1      -0.268989  8.671735e-03 -0.416369 -0.121610  yes
gene__6.3.1.5      gene__6.3.1.5      -0.274225  3.010383e-02 -0.450336 -0.098115  yes
gene__1.1.1.157  gene__1.1.1.157      -0.276389  4.866110e-03 -0.418753 -0.134025  yes
gene__2.7.1.168  gene__2.7.1.168      -0.305224  1.440865e-02 -0.482911 -0.127537  yes
gene__3.6.3.14    gene__3.6.3.14      -0.305830  3.298182e-04 -0.437268 -0.174393  yes
gene__2.3.1.9      gene__2.3.1.9      -0.316199  1.744911e-03 -0.465945 -0.166453  yes
gene__3.2.1.8      gene__3.2.1.8      -0.338317  3.587346e-02 -0.560231 -0.116403  yes
gene__3.1.3.45    gene__3.1.3.45      -0.368723  1.906877e-04 -0.522491 -0.214955  yes
gene__3.4.22.71  gene__3.4.22.71      -0.372848  3.575701e-03 -0.560003 -0.185692  yes
gene__2.7.7.40    gene__2.7.7.40      -0.385835  1.453840e-02 -0.610930 -0.160739  yes
gene__1.1.1.6      gene__1.1.1.6      -0.396868  1.344498e-02 -0.626283 -0.167453  yes
gene__5.6.2.3      gene__5.6.2.3      -0.403676  1.037371e-06 -0.535675 -0.271676  yes
gene__2.7.7.6      gene__2.7.7.6      -0.420213  4.904699e-08 -0.545234 -0.295192  yes
gene__3.6.1.65    gene__3.6.1.65      -0.423212  3.644908e-03 -0.636350 -0.210073  yes
gene__1.18.6.1    gene__1.18.6.1      -0.442085  4.045792e-02 -0.737446 -0.146724  yes
gene__4.99.1.4    gene__4.99.1.4      -0.457596  1.607150e-02 -0.728757 -0.186436  yes
gene__3.4.24.75  gene__3.4.24.75      -0.462117  3.137114e-02 -0.760809 -0.163424  yes
gene__1.1.1.103  gene__1.1.1.103      -0.491709  4.045792e-02 -0.820033 -0.163385  yes
gene__5.1.99.1    gene__5.1.99.1      -0.508935  7.741205e-04 -0.738645 -0.279225  yes
gene__2.3.1.182  gene__2.3.1.182      -0.533639  1.589559e-05 -0.730077 -0.337200  yes
gene__1.21.4.1    gene__1.21.4.1      -1.079016  1.963919e-03 -1.595930 -0.562102  yes
