                     Feature  random-effect      Q-values    CI_low    CI_upp   SG
gene__PF00107  gene__PF00107       0.788078  2.679562e-02  0.251505  1.324651  yes
gene__PF02610  gene__PF02610       0.743800  3.983142e-03  0.336816  1.150783  yes
gene__PF01055  gene__PF01055       0.671017  3.107525e-03  0.312703  1.029331  yes
gene__PF01874  gene__PF01874       0.618308  2.023063e-02  0.212757  1.023859  yes
gene__PF14133  gene__PF14133       0.542226  3.526632e-02  0.157510  0.926942  yes
gene__PF02643  gene__PF02643       0.538755  4.163245e-03  0.242732  0.834779  yes
gene__PF07715  gene__PF07715       0.537914  1.977922e-05  0.326704  0.749124  yes
gene__PF00773  gene__PF00773       0.525282  7.938646e-03  0.216760  0.833804  yes
gene__PF08000  gene__PF08000       0.513056  3.513651e-02  0.149390  0.876723  yes
gene__PF02423  gene__PF02423      -0.499723  4.537460e-02 -0.869043 -0.130403  yes
gene__PF03051  gene__PF03051      -0.517917  2.975660e-07 -0.691354 -0.344480  yes
gene__PF09043  gene__PF09043      -0.518546  4.085119e-02 -0.895359 -0.141734  yes
gene__PF13199  gene__PF13199      -0.523764  5.787525e-03 -0.820550 -0.226977  yes
gene__PF17293  gene__PF17293      -0.527663  6.391201e-08 -0.695435 -0.359892  yes
gene__PF10133  gene__PF10133      -0.528966  2.689372e-02 -0.889361 -0.168571  yes
gene__PF07396  gene__PF07396      -0.542271  4.117812e-05 -0.762533 -0.322008  yes
gene__PF02645  gene__PF02645      -0.544356  1.038829e-05 -0.752172 -0.336540  yes
gene__PF00486  gene__PF00486      -0.544505  2.089498e-04 -0.784801 -0.304210  yes
gene__PF00700  gene__PF00700      -0.547134  1.256558e-05 -0.757648 -0.336620  yes
gene__PF02667  gene__PF02667      -0.562958  4.612250e-03 -0.875220 -0.250695  yes
gene__PF03389  gene__PF03389      -0.564359  1.192418e-03 -0.843944 -0.284775  yes
gene__PF06429  gene__PF06429      -0.568699  7.584105e-03 -0.900867 -0.236531  yes
gene__PF16138  gene__PF16138      -0.568818  3.544635e-04 -0.827612 -0.310024  yes
gene__PF09907  gene__PF09907      -0.586230  1.975747e-02 -0.969026 -0.203434  yes
gene__PF02321  gene__PF02321      -0.594554  2.907775e-04 -0.861912 -0.327196  yes
gene__PF12010  gene__PF12010      -0.596476  3.496353e-05 -0.836701 -0.356252  yes
gene__PF08242  gene__PF08242      -0.602347  4.762656e-02 -1.051241 -0.153453  yes
gene__PF03613  gene__PF03613      -0.606807  2.993671e-04 -0.880299 -0.333315  yes
gene__PF00941  gene__PF00941      -0.607291  3.711274e-03 -0.937293 -0.277290  yes
gene__PF13787  gene__PF13787      -0.617255  2.989723e-02 -1.044096 -0.190414  yes
gene__PF14289  gene__PF14289      -0.631055  2.233880e-04 -0.910568 -0.351541  yes
gene__PF00155  gene__PF00155      -0.669827  1.480383e-02 -1.091752 -0.247901  yes
gene__PF05544  gene__PF05544      -0.693421  2.908879e-02 -1.171151 -0.215692  yes
gene__PF06289  gene__PF06289      -0.705046  1.471551e-05 -0.978248 -0.431844  yes
gene__PF03830  gene__PF03830      -0.713439  1.754228e-07 -0.948226 -0.478652  yes
gene__PF04055  gene__PF04055      -0.741541  8.154726e-04 -1.099126 -0.383955  yes
gene__PF03609  gene__PF03609      -0.750223  3.850802e-06 -1.024932 -0.475514  yes
gene__PF03599  gene__PF03599      -0.803035  2.852046e-03 -1.227918 -0.378151  yes
gene__PF14751  gene__PF14751      -0.834024  1.429554e-02 -1.356331 -0.311716  yes
gene__PF13356  gene__PF13356      -0.918389  1.583008e-03 -1.382497 -0.454280  yes
